time_prototype_s,Q_prototype_m3s,time_model_s,Q_model_m3s,V_inlet_model_ms
167763.0,722742.644,56.3,7.2274264399999995,1.9965266408839777
167764.0,722708.322,56.4,7.227083220000001,1.996431828729282
167765.0,722674.0,56.5,7.22674,1.9963370165745857
167766.0,722639.678,56.6,7.22639678,1.9962422044198895
167767.0,722605.356,56.7,7.22605356,1.9961473922651933
167768.0,722571.034,56.8,7.22571034,1.9960525801104971
167769.0,722536.7119999999,56.9,7.22536712,1.995957767955801
167770.0,722502.39,57.0,7.2250239,1.995862955801105
167771.0,722468.068,57.1,7.22468068,1.9957681436464088
167772.0,722433.746,57.2,7.22433746,1.9956733314917128
167773.0,722399.424,57.3,7.22399424,1.9955785193370164
167774.0,722365.102,57.4,7.223651019999999,1.9954837071823202
167775.0,722330.78,57.5,7.223307800000001,1.9953888950276244
167776.0,722296.458,57.6,7.22296458,1.9952940828729282
167777.0,722262.136,57.7,7.222621360000001,1.9951992707182322
167778.0,722227.814,57.8,7.22227814,1.995104458563536
167779.0,722193.492,57.9,7.22193492,1.9950096464088396
167780.0,722159.17,58.0,7.2215917,1.9949148342541436
167781.0,722124.848,58.1,7.22124848,1.9948200220994474
